uid,geo_unit_el,geo_unit,state_el,state,region_el,region,lat,long,population,map_value,areaid
EL232,Πελοπόννησος,Peloponnese,Περιφέρεια Δυτικής Ελλάδας,Western Greece,Π.Ε. Αχαϊας,Achaea,38.1158729,21.9522491,309694,Π.Ε. ΑΧΑΪΑΣ,702
EL231,Στερεά Ελλάδα,Central Greece,Περιφέρεια Δυτικής Ελλάδας,Western Greece,Π.Ε. Αιτωλοακαρνανίας,Aetolia-Acarnania,38.7084386,21.3798928,210802,,701
,Νησιά Αιγαίου Πελάγους,Aegean,Περιφέρεια Βορείου Αιγαίου,North Aegean,Π.Ε. Άνδρου,Andros,37.8407933,24.7004957,9221,Ν. Κυκλάδων,1201
EL252,Πελοπόννησος,Peloponnese,Περιφέρεια Πελοποννήσου,Peloponnese,Π.Ε. Αρκαδίας,Arcadia,37.5557825,22.3337769,86685,,1002
EL251,Πελοπόννησος,Peloponnese,Περιφέρεια Πελοποννήσου,Peloponnese,Π.Ε. Αργολίδας,Argolis,37.6525404,22.858217,97044,,1001
EL211,Ήπειρος,Epirus,Περιφέρεια Ηπείρου,Epirus,Π.Ε. Άρτας,Arta,39.1582421,20.9876839,67877,,401
EL300,Αττική,Attica,Περιφέρεια Αττικής,Attica,Περιφέρεια Αττικής,Attica,38.0457568,23.8584737,3828434,Αττική,
EL241,Στερεά Ελλάδα,Central Greece,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Central Greece,Π.Ε. Βοιωτίας,Boeotia,38.3663664,23.0965064,117920,,801
,Αττική,Attica,Περιφέρεια Αττικής,Attica,Π.Ε. Κεντρικού Τομέα Αθηνών,Central Athens,37.9880326,23.719052,1029520,,905
EL127,Μακεδονία,Macedonia,Περιφέρεια Κεντρικής Μακεδονίας,Central Macedonia,Π.Ε. Χαλκιδικής,Chalkidiki,40.3694997,23.287085,105908,,207
EL434,Κρήτη,Crete,Περιφέρεια Κρήτης,Crete,Π.Ε. Χανίων,Chania,35.5138298,24.0180367,156585,,1304
,Νησιά Αιγαίου Πελάγους,Aegean,Περιφέρεια Βορείου Αιγαίου,North Aegean,Π.Ε. Χίου,Chios,38.3681824,26.1310056,52674,,1105
EL413,Νησιά Αιγαίου Πελάγους,Aegean,Περιφέρεια Βορείου Αιγαίου,North Aegean,Ν. Χίου,Chios,38.3681824,26.1310056,52674,Ν. Χίου,
EL222,Νησιά Ιονίου Πελάγους,Aegean,Περιφέρεια Ιονίων Νήσων,Ionian Islands,Π.Ε. Κέρκυρας,Corfu (Kerkyra),39.6242621,19.9216777,104371,,603
EL253,Πελοπόννησος,Peloponnese,Περιφέρεια Πελοποννήσου,Peloponnese,Π.Ε. Κορινθίας,Corinthia,38.0022977,22.5245093,145082,,1003
EL422,Νησιά Αιγαίου Πελάγους,Aegean,Περιφέρεια Νοτίου Αιγαίου,South Aegean,Ν. Κυκλάδων,Cyclades,37.1548247,25.0687356,118027,Ν. Κυκλάδων,
EL421,Νησιά Αιγαίου Πελάγους,Aegean,Περιφέρεια Νοτίου Αιγαίου,South Aegean,Ν. Δωδεκανήσου,Dodecanese,36.4029176,27.9285982,190988,Ν. Δωδεκανήσου,
EL114,Μακεδονία,Macedonia,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,East Macedonia-Thrace,Π.Ε. Δράμας,Drama,41.1502273,24.1469489,98287,,101
,Αττική,Attica,Περιφέρεια Αττικής,Attica,Π.Ε. Ανατολικής Αττικής,East Attica,37.9922946,23.7337552,502348,,901
EL233,Πελοπόννησος,Peloponnese,Περιφέρεια Δυτικής Ελλάδας,Western Greece,Π.Ε. Ηλείας,Elis,37.7045099,21.5706786,159300,,703
EL242,Στερεά Ελλάδα,Central Greece,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Central Greece,Π.Ε. Ευβοίας,Euboea,38.5236036,23.8584737,210815,,802
EL111,Θράκη,Thrace,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,East Macedonia-Thrace,Π.Ε. Έβρου,Evros,41.2443761,26.1359431,147947,,102
EL243,Στερεά Ελλάδα,Central Greece,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Central Greece,Π.Ε. Ευρυτανίας,Evrytania,39.0032334,21.7137694,20081,,803
EL134,Μακεδονία,Macedonia,Περιφέρεια Δυτικής Μακεδονίας,Western Macedonia,Π.Ε. Φλώρινας,Florina,40.7845262,21.4131222,51414,,304
EL131,Μακεδονία,Macedonia,Περιφέρεια Δυτικής Μακεδονίας,Western Macedonia,Π.Ε. Γρεβενών,Grevena,40.0837626,21.4273299,31757,,301
EL431,Κρήτη,Crete,Περιφέρεια Κρήτης,Crete,Π.Ε. Ηρακλείου,Herakleion,35.3387352,25.1442126,305490,,1301
,Νησιά Αιγαίου Πελάγους,Aegean,Περιφέρεια Βορείου Αιγαίου,North Aegean,Π.Ε. Ικαρίας,Ikaria,37.5998642,26.0296199,9882,Ν. Σάμου,1101
